"class","exp_dir","remaining_weight_count","remaining_weight_mb","summary_count","config_exists","base_action","no_summary_policy_action","reason"
"keep_current_aaai2027_packet","aaai2027_endpoint_metric_h_omf_flow_huber_seed42_b44","3","201.779","3","True","keep_current_aaai2027_packet","","current aaai2027 or tokenizer-clean formal packet; do not delete before packet-specific policy even if current docs have not caught up"
"keep_current_aaai2027_packet","aaai2027_endpoint_metric_h_omf_flow_l1_seed42_b44","3","201.779","3","True","keep_current_aaai2027_packet","","current aaai2027 or tokenizer-clean formal packet; do not delete before packet-specific policy even if current docs have not caught up"
"keep_current_aaai2027_packet","aaai2027_endpoint_metric_h_omf_flow_mse_seed42_b44","3","201.779","3","True","keep_current_aaai2027_packet","","current aaai2027 or tokenizer-clean formal packet; do not delete before packet-specific policy even if current docs have not caught up"
"keep_current_aaai2027_packet","aaai2027_flow_loss_h_base_huber_seed42_b44","3","201.779","3","True","keep_current_aaai2027_packet","","current aaai2027 or tokenizer-clean formal packet; do not delete before packet-specific policy even if current docs have not caught up"
"keep_current_aaai2027_packet","aaai2027_flow_loss_h_base_l1_seed42_b44","3","201.779","3","True","keep_current_aaai2027_packet","","current aaai2027 or tokenizer-clean formal packet; do not delete before packet-specific policy even if current docs have not caught up"
"keep_current_aaai2027_packet","aaai2027_flow_loss_h_base_mse_seed42_b44","3","201.779","3","True","keep_current_aaai2027_packet","","current aaai2027 or tokenizer-clean formal packet; do not delete before packet-specific policy even if current docs have not caught up"
"keep_current_aaai2027_packet","aaai2027_tokenizer_execution_alignment_l_e1","0","0.000","1","False","keep_current_aaai2027_packet","","current aaai2027 or tokenizer-clean formal packet; do not delete before packet-specific policy even if current docs have not caught up"
"keep_current_aaai2027_packet","aaai2027_tokenizer_localization_l_e1_executoronly_seed42_b44","3","169.846","3","True","keep_current_aaai2027_packet","","current aaai2027 or tokenizer-clean formal packet; do not delete before packet-specific policy even if current docs have not caught up"
"keep_current_aaai2027_packet","aaai2027_tokenizer_localization_l_e1_stylebranch_seed42_b44","3","70.697","3","True","keep_current_aaai2027_packet","","current aaai2027 or tokenizer-clean formal packet; do not delete before packet-specific policy even if current docs have not caught up"
"keep_cited_until_citation_migrated","ablation_destructive_7epoch","0","0.000","12","False","keep_cited_until_citation_migrated","","referenced by docs/reviews/master log/paper-facing files; TokenizerClean exp-surface policy says cited exp paths stay in place"
"keep_cited_until_citation_migrated","armored_breakthrough_proper","0","0.000","0","False","keep_cited_until_citation_migrated","","referenced by docs/reviews/master log/paper-facing files; TokenizerClean exp-surface policy says cited exp paths stay in place"
"no_checkpoint_delete","artfid_wikiart5_compare","0","0.000","1","False","no_checkpoint_delete","","no .pt/.ckpt/.pth files found; if space cleanup is desired this needs a generated-image/archive policy, not ckpt cleanup"
"keep_orphan_until_owner_review","axis_scale_probe","6","90.266","0","False","review_ckpt_candidate_no_summary","keep_orphan_until_owner_review","No config and no summary; weight may be orphaned but needs owner review before deletion."
"keep_cited_until_citation_migrated","configs","0","0.000","144","False","keep_cited_until_citation_migrated","","referenced by docs/reviews/master log/paper-facing files; TokenizerClean exp-surface policy says cited exp paths stay in place"
"keep_cited_until_citation_migrated","decision_tree_clip_style","0","0.000","0","False","keep_cited_until_citation_migrated","","referenced by docs/reviews/master log/paper-facing files; TokenizerClean exp-surface policy says cited exp paths stay in place"
"delete_ckpt_candidate_uncited_with_summary","delta_freq_gain","0","0.000","2","False","delete_ckpt_candidate_uncited_with_summary","","uncited non-aaai exploratory/sweep directory with summary/metrics retained; eligible for checkpoint-only deletion while keeping data evidence"
