"area","current_conclusion","authoritative_evidence","current_counts","cleanup_done","retain_reason","remaining_gap","next_8h_action"
"master-index","All experiment rows are already split into master, timeline, and per-dataset CSVs; the missing layer was a readable local/remote/lineage conclusion entrypoint.","final_master_experiments.csv; final_timeline.csv; conclusions_by_dataset.csv; final_by_dataset/*.csv","final_master=22629 rows; final_timeline=7829 rows; conclusions_by_dataset=25 rows","no cleanup in this conclusion pass","The master tables are the data source; this conclusion pass is an index and synthesis layer, not a replacement for the detailed CSVs.","Need final consistency audit after more cleanup/source-open passes.","Use this report as entry point, then drill into final_by_dataset and per-pass ledgers."
"local-root","Local G:/GitHub/Latent_Style is a mixed evidence workspace, not one experiment directory: datasets, latent/cache roots, SchrodingerBridge runs, Related_Works baselines, Cycle-NCE history, root archive/tmp, and paper workspace coexist.","manual_top_level_directory_index_20260605.csv; manual_coverage_matrix_20260605.csv; manual_family_walkthrough_20260605.csv; manual_local_*_policy_20260605.csv; MANUAL_LOCAL_GENERATED_MEDIA_OWNER_REVIEW_PASS4_20260605.md","manual_top_level_directory_index=67 rows with 32 local rows; manual_coverage_matrix=41 rows; manual_family_walkthrough=31 rows","local cleanup ledgers release about 49440.289 MB across checkpoints, cache residue, duplicate archives, dataset residue, remaining surfaces, frame-only generated media, and pass4 duplicate media","Datasets, latent tensors, CLIP features, eval caches, formal eval outputs, baseline logs, and paper scratch are evidence or dependencies, not bulk delete targets.","Not every nested generated-media/archive/temp surface has owner-level source-open coverage.","Continue exact-path local generated-media owner review below pass4 and archive/temp provenance policy."
"local-generated-media","Local generated-media review is being done by owner/source evidence, not by image count: pass1/pass2/pass3/pass4/pass5 opened formal evals, protocol outputs, docs controls, timing outputs, compact anchors, diagnostics, highres qualitative outputs, inference preview sweeps, tracked CUT raw web outputs, and frame-only or duplicate media.","MANUAL_LOCAL_GENERATED_MEDIA_OWNER_REVIEW_20260605.md; MANUAL_LOCAL_GENERATED_MEDIA_OWNER_REVIEW_PASS2_20260605.md; MANUAL_LOCAL_GENERATED_MEDIA_OWNER_REVIEW_PASS3_20260605.md; MANUAL_LOCAL_GENERATED_MEDIA_OWNER_REVIEW_PASS4_20260605.md; MANUAL_LOCAL_GENERATED_MEDIA_OWNER_REVIEW_PASS5_20260605.md; manual_local_generated_media_owner_review_pass5_20260605.csv; cleanup/manual_local_generated_media_intermediate_frame_cleanup_20260605.csv; cleanup/manual_local_generated_media_pass4_cleanup_20260605.csv","pass3=14 retained rows; pass4=12 rows with 10 retained/retained_pending and 2 deleted duplicate targets; pass5=46 rows with 32 retain_pending_owner, 12 retain_tracked_boundary, 2 retain, and 0 delete_whitelist=yes","deleted five unreferenced CUT video work-frame directories, 3068.463 MB; deleted pass4 duplicate media targets, 101.913 MB; no cleanup in pass5","Formal evals, no-op/IDT controls, timing benchmark images, paper bundles, protocol baseline outputs, compact-anchor eval images, highres paired evidence, Seedream diagnostics, inference preview sweeps, and tracked CUT raw outputs are source evidence unless explicitly duplicated or owner-migrated.","Pass5 leaves owner decisions for seedream_gap and inference_param_sweep_t01e8_*; CUT raw outputs need tracked-file migration/untracking policy before cleanup.","Get owner decision for pass5 retained-pending diagnostics/sweeps; if approved later, write exact delete whitelist plus post-delete verification."
"remote-main","Remote I:/Github/Latent_Style is live and substantial: current remote listing shows 23 dirs and 53 files at root, 123 dirs under SchrodingerBridge/exp, and Cycle-NCE still present.","remote live ssh listing 2026-06-05; MANUAL_REMOTE_SCHRODINGERBRIDGE_EPOCH_THINNING_20260605.md; MANUAL_REMOTE_SAMAM_CHECKPOINT_THINNING_20260605.md; MANUAL_REMOTE_MAIN_DATA_CACHE_ARCHIVE_POLICY_20260605.md","remote root live: Latent_Style dirs=23 files=53; remote SchrodingerBridge/exp dirs=123 files=1; Cycle-NCE dirs=25 files=79","deleted remote SB non-retained epochs 4961.604 MB, SaMAM aliases 1931.291 MB, data/cache/archive residue 381.807 MB, duplicate/stale archives 3290.714 MB","Retained current anchors, formal eval summaries, data/latent/cache roots, baseline repos, expanded evidence dirs, and archives that are not proven duplicates.","Cache duplicate deletion still needs canonical-root migration and eval verification.","Continue remote main path-by-path review only where a new whitelist can be proven."
"remote-rar","Remote RAR cleanup for Cycle-NCE/45.rar is now closed: curated nonweight package exists and original 45.rar has been deleted after exact-path whitelist and post-delete verification. experiments.rar is also absent.","MANUAL_REMOTE_CYCLE_NCE_45_RAR_CURATED_EXTRACTION_EXECUTED_20260605.md; MANUAL_REMOTE_CYCLE_NCE_45_RAR_DELETE_EXECUTED_20260605.md; manual_remote_cycle_nce_45_rar_post_delete_verify_20260605.csv; remote live ssh listing 2026-06-05","curated nonweight package=6086 files including manifest/ledger / 145.512 MB / 0 weight-extension files; archive entries previously verified as 6084 nonweight payloads and 12 staged .pt weights removed","deleted weight-only RARs 6553.384 MB, resolved duplicate experiments.rar 8091.026 MB, and original 45.rar 507.452 MB","45.rar nonweight evidence has been extracted and verified by path/bytes; original compressed archive and old archive weights are no longer retained.","Cache duplicate cleanup still needs canonical-root migration proof; RAR cleanup should only continue for newly proven exact duplicates.","Continue remote main path-by-path review only where a new whitelist can be proven."
"remote-tokenizerclean","Remote TokenizerClean is a separate evidence surface: current live listing shows 17 root dirs and SchrodingerBridge/exp currently has 142 dirs plus 23 files after cleanup; the earlier all-dir graph covered 145 exp dirs before owner cleanup. The 7 trained no-summary payload dirs were reopened one by one, the 5 training-log-only dirs are metadata-only after checkpoint deletion, and the 26 retained media dirs now have a fixed-path manifest.","remote live ssh listing 2026-06-05; MANUAL_REMOTE_TOKENIZERCLEAN_CITATION_GRAPH_20260605.md; MANUAL_REMOTE_TOKENIZERCLEAN_TRAINING_LOG_ONLY_LIVE_RECHECK_20260605.md; MANUAL_REMOTE_TOKENIZERCLEAN_CITED_CURRENT_MEDIA_MANIFEST_20260605.md; manual_remote_tokenizerclean_training_log_only_remaining_weights_20260605.csv","pre-cleanup graph=145 exp dirs; current live exp dirs=142 files=23; trained no-summary after cleanup=7 dirs, 3 retained external-evidence weights, 130.883 MB, 5 metadata-only training-log dirs, retained media manifest=26 rows","deleted 141 uncited checkpoints 5198.991 MB, 18 probe/no-summary checkpoints 362.391 MB, 3 orphan probe targets 170.017 MB, 7 training-log-only weights 248.429 MB, and 43008 uncited generated media files 11883.246 MB","Cited/current/formal packets and two evidence-bearing no-summary payloads retain needed weights; five training-log-only dirs retain config/training CSV metadata but no checkpoint weights; retained media now has representative artifact mapping.","Archive migration policy is not created; one config lineage anomaly records a nonexistent self resume checkpoint epoch_0004.pt.","Repair/annotate the missing-resume anomaly; owner-select retained-media archive/migration candidates."
"remote-tokenizerclean-retained-media","TokenizerClean retained media is not a cleanup miss: 26 cited/current dirs were source-opened and all are keep_no_delete pending archive migration; a fixed-path manifest now maps each dir to representative summaries, CSVs, grids, generated media buckets, and checkpoints.","manual_remote_tokenizerclean_cited_current_media_archive_policy_20260605.csv; MANUAL_REMOTE_TOKENIZERCLEAN_CITED_CURRENT_MEDIA_MANIFEST_20260605.md; manual_remote_tokenizerclean_cited_current_media_manifest_20260605.csv","26 dirs; 46483 policy media files; live manifest rows=26; policy actions: 8 current AAAI2027 media, 18 cited media","no deletion in retained-media pass","These dirs contain current/formal packets, cited summaries, CSVs, grids, generated media, and retained checkpoints; manifest blocks deletion by media count or size.","No archive tarball or path-preserving migration has been created yet.","Owner-select archive candidates and write path-preserving migration policy before moving media."
"remote-tokenizerclean-no-summary","Seven trained no-summary payload dirs remain as directories with config and training CSVs. The five no-external-evidence training-log-only dirs had their 7 checkpoint weights deleted by exact whitelist; the two external-evidence dirs retain 3 weights / 130.883 MB.","manual_remote_tokenizerclean_trained_no_summary_owner_decision_20260605.csv; MANUAL_REMOTE_TOKENIZERCLEAN_TRAINING_LOG_ONLY_LIVE_RECHECK_20260605.md; MANUAL_REMOTE_TOKENIZERCLEAN_TRAINING_LOG_ONLY_WEIGHT_DELETE_EXECUTED_20260605.md; manual_remote_tokenizerclean_training_log_only_remaining_weights_20260605.csv","7 payload dirs; 5 metadata-only dirs with 0 remaining weights; 1 downstream resume source with 2 weights; 1 diagnostic evaluated payload with 1 weight; 1 config anomaly where wikiart512_ema_spectral_stat_full_e2_from_tok_b48 points to missing epoch_0004.pt","deleted 7 training-log-only checkpoint weights / 248.429 MB; retained configs and training CSVs","Deleting directories is unnecessary for cleanup because metadata is useful archaeology; evidence-bearing payload weights remain because downstream/diagnostic references exist.","Missing-resume config anomaly still needs repair/annotation.","Repair/annotate the missing resume target."
"timing","Timing archaeology is broad but not final: docs timing master has 419 rows, archaeology overlay has 1093 rows, and 26 missing-docs claim candidates were source-opened.","SchrodingerBridge/docs/timing/training_inference_timing_master.csv; timing_quality_master_20260605.csv; TIMING_CANDIDATE_MISSING_DOCS_SOURCE_OPEN_20260605.md","docs timing master=419 rows; overlay=1093 rows; missing-docs source-open=26 rows","no cleanup in timing passes","Original units are preserved; missing values remain blank; generation-only, full-eval, train+eval, smoke, and audit-only rows are separated by quality labels.","370 docs rows still lack overlay/source-open coverage; docs timing master was not updated in this pass.","Owner-select promotable rows, then update docs timing master in a separate scoped pass."
"lineage","The experiment chronology is now understandable as phases: legacy/Cycle-NCE history, SchrodingerBridge/LANCET exploration, WikiArt512/Distinct5 formal evidence, and AAAI2027/TokenizerClean claim closing.","EXPERIMENT_LINEAGE_SUMMARY.md; final_timeline.csv; conclusions_by_dataset.csv; ARCHAEOLOGY_DIRECT_CONCLUSIONS_ZH_20260605.md","timeline=7829 events; dataset conclusion rows=25","no cleanup in lineage pass","Lineage prevents failed probes, smoke tests, dry-runs, no-op controls, and historical baselines from being promoted into current formal claims.","Some dataset conclusion text is still rough/mojibake from earlier generated reports; final human-readable pass is needed.","Rewrite dataset-by-dataset human conclusions after the next source-open pass."
