"path","manual_status","files","dirs","size_mb_before_cleanup","opened_evidence","classification","retain_or_cleanup_decision","cleanup_action","cleanup_size_mb","risk_if_deleted","next_action"
"G:/GitHub/Latent_Style/archive/2026-05-19_cleanup","opened_topdir_and_key_payloads","3451","283","1556.059","opened micro_pass, Related_Works, root, SchrodingerBridge_outputs; root/Cycle-NCE.tar listed with tar -tf; tar contains Cycle-NCE/.venv plus historical full_eval/metrics; current Cycle-NCE still present and separately audited","historical cleanup archive plus one duplicate monolithic Cycle-NCE backup tar","partial_cleanup","delete root/Cycle-NCE.tar; retain smaller archive subdirs pending archive policy","1503.203","Deleting tar removes one duplicate backup copy, not the current Cycle-NCE evidence tree; if a bit-identical May 18 snapshot is needed later it would be unavailable","After deletion, reassess remaining archive subdirs only if more disk recovery is needed."
"G:/GitHub/Latent_Style/tmp","opened_topdir_and_file_classes","371","35","176.618","opened top-level by time; grouped by extension; largest files are paper PDFs, rendered page PNGs, extracted tex/txt, git fsck recovery logs","recent paper/PDF review scratch and recovery workspace","keep_for_now","none","0","Deleting may violate no-paper/no-tex-pdf-touch boundary or remove June 4 recovery context","If user explicitly allows paper temp cleanup, move/delete by dated tmp policy after preserving final audit references."
"G:/GitHub/Latent_Style/exp","opened_file_level_and_representative_dirs","4509","53","286.786","opened root pid/logs; checked PIDs 37960/30604 not running; err logs show wrong root src/run.py; opened highres_eval_local image outputs; reference_memory_generation_probe run.pid empty and directory became empty after cleanup","mixed generated image evidence plus stale launcher residue","partial_cleanup","delete stale root pid/log files, empty run.pid, and empty reference_memory_generation_probe dir; retain generated highres outputs","0.000316","Deleting generated images would remove qualitative highres evidence; deleting stale launcher files only removes false running-state signals","Keep generated outputs unless a separate generated-image archive policy is adopted."
"G:/GitHub/Latent_Style/final_works","opened_topdir_and_metrics_logs","68","20","30.342","opened CUT/SaMST/Star-GAN/str/trial metrics, summaries, training logs, full_eval logs; no .pt/.pth/.ckpt found","baseline/final metric evidence after prior checkpoint cleanup","keep","none","0","Deleting removes baseline comparison evidence and prior cleaned trial context","No checkpoint cleanup target remains."
"G:/GitHub/Latent_Style/seedream45_api","opened_file_level","1443","7","52.083","opened protocol_a_800; found fake_eval_checkpoint.pt 0.001460MB only","Seedream API/generated result surface with tiny fake checkpoint placeholder","keep_for_now","none","0","Placeholder saves no meaningful space and may be referenced by result metadata","Only delete under a placeholder-only cleanup policy."
"G:/GitHub/Latent_Style/fast_infer_ablate43","opened_file_level","7","0","0.028","opened README/export_onnx/runtime references during eval_cache audit","inference/export tooling, not experiment output","keep","none","0","Deleting removes local fast inference tooling","No cleanup."
"G:/GitHub/Latent_Style/latent_cyclegan","opened_topdir","11","4","17.540","opened README/code/docs file list; docs include PDF/PPTX","legacy latent CycleGAN code/docs","keep","none","0","Deleting removes historical method docs/code","Archive only if repo organization changes."
"G:/GitHub/Latent_Style/o20_d3","opened_file_level","11","3","0.296","opened config/log/src file list; includes training_20260509_203215.csv and source snapshot","old SchrodingerBridge config/log/src snapshot","keep","none","0","Deleting removes old run reproducibility context","Fold into archive policy only."
"G:/GitHub/Latent_Style/wikiart_fewshot","opened_topdir","66","4","3.015","opened ukiyo_e and processed data dirs by top-level listing","few-shot data surface","keep","none","0","Deleting removes dataset material","Dataset policy only."
"G:/GitHub/Latent_Style/lambda_grid","opened_file_level","28","2","0.040","opened configs/logs/status; run_summary showed dry-run 0.000/0.001s timings","dry-run/negative phase-space evidence","keep","none","0","Deleting hides negative/dry-run evidence and timing caveat","Retain but do not cite dry-run timing as training/inference cost."
"G:/GitHub/Latent_Style/step_count_sweep","opened_file_level","6","1","0.002","opened logs/status; run_summary showed dry-run-like elapsed values","dry-run/negative step sweep evidence","keep","none","0","Deleting hides negative/dry-run evidence","Retain but do not cite 0.000s timings as real inference."
"G:/GitHub/Latent_Style/root tracked misc files","opened_file_level_or_git_tracked_check","tracked","tracked","various","git ls-files shows __tmp_prepare_clip.py, __tmp_redownload_clip.py, page*.png, NoMachine deb, LGT figure, EXPERIMENT_ARCHAEOLOGY_MASTER.csv tracked; opened CLIP tmp scripts and LGT log","tracked misc/tooling/report artifacts","keep","none","0","Deleting tracked files would be a source/repo change outside cleanup sidecar scope","Do not touch without explicit repo-reorganization request."
