"timestamp","scope","path","media_count","total_mb","evidence_opened","owner_class","decision","delete_whitelist","reason","remaining_gap"
"2026-06-05Tcurrent","local_generated_media","Related_Works\runs\cut_5x5\datasets","56305","1826.031","manifest_overfit50.csv; manifest_val.csv; sample to_cezanne/overfit50A jpg files","dataset_mirror","retain","no","Dataset/manifest evidence, not generated-output trash.","None for deletion; keep indexed as dataset mirror."
"2026-06-05Tcurrent","local_generated_media","SchrodingerBridge\exp\paper\paper_main_750_bundle","6750","176.924","sample method/style jpg bundle files; parent SchrodingerBridge/exp/paper opened","paper_facing_bundle","retain","no","Paper-facing 750 bundle with multiple methods/styles; no source of truth replacement identified.","Could add a manifest later, but do not delete."
"2026-06-05Tcurrent","local_generated_media","Related_Works\baseline_pipeline\results\samam_wsl_mamba_512_scratch_clean_silent_b1_20k\formal_eval_750","6009","2280.427","curve_metrics.csv/json; sb_curve_metrics.csv/json; step summary.json; metrics.csv; aggregate_targetwise_artfid","formal_eval_curve","retain","no","Formal SaMAM WikiArt512 curve evidence cited by docs/timing and comparison points.","No deletion; may archive only after curated copy exists."
"2026-06-05Tcurrent","local_generated_media","SchrodingerBridge\exp\diagnostics\seedream_gap","5250","79.523","diagnostics parent opened; sample gap input jpgs; source-clip/separability docs in diagnostics parent","diagnostic_media","retain_pending_owner","no","Diagnostic media has parent docs but no local summary inside the dir; not enough proof for deletion.","Owner-level diagnostic usefulness review still needed."
"2026-06-05Tcurrent","local_generated_media","Related_Works\runs\cut_5x5\raw_results","3750","107.932","cut_5x5 logs opened; sample fake_B jpg outputs","baseline_raw_output","retain_pending_owner","no","CUT baseline reproduction raw outputs; logs and downstream summaries exist elsewhere.","Could consider archive after final curated baseline outputs are frozen."
"2026-06-05Tcurrent","local_generated_media","Related_Works\runs\cut_5x5\raw_results_val","3750","451.760","cut_5x5 logs opened; sample val fake_B png outputs","baseline_raw_output","retain_pending_owner","no","CUT baseline validation raw outputs; no exact replacement policy yet.","Could consider archive after final curated baseline outputs are frozen."
"2026-06-05Tcurrent","local_generated_media","SchrodingerBridge\exp\inference\inference_param_sweep_t01e8_quick","3500","40.843","endpoint/integrate subdirs opened; sample jpgs","inference_parameter_sweep","retain_pending_owner","no","Parameter-sweep images have no summary in directory but are small and may be useful for inference behavior archaeology.","Needs owner classification before cleanup."
"2026-06-05Tcurrent","local_generated_media","Related_Works\baseline_pipeline\results\s2wat\protocol_a_800","2951","37.567","summary.json; metrics.csv; sample jpgs","baseline_protocol_eval","retain","no","Protocol A evaluation with metrics/summary; claim/audit evidence.","No deletion."
"2026-06-05Tcurrent","local_generated_media","Related_Works\baseline_pipeline\results\cut\protocol_a_800","2751","99.942","summary.json; metrics.csv; sample jpgs","baseline_protocol_eval","retain","no","Protocol A evaluation with metrics/summary; claim/audit evidence.","No deletion."
"2026-06-05Tcurrent","local_generated_media","Related_Works\runs\cut_5x5\video\head_20260404_140330","179","204.564","directory opened; only _work frames_src png; no mp4/json/csv; no text reference to timestamp","unreferenced_intermediate_video_frames","delete","yes","Intermediate frame-only work dir. Final video evidence and summary live under Cycle-NCE/video, and this timestamp is not referenced.","Post-delete verification required."
"2026-06-05Tcurrent","local_generated_media","Related_Works\runs\cut_5x5\video\head_20260404_140349","179","204.564","directory opened; only _work frames_src png; no mp4/json/csv; no text reference to timestamp","unreferenced_intermediate_video_frames","delete","yes","Intermediate frame-only work dir. Final video evidence and summary live under Cycle-NCE/video, and this timestamp is not referenced.","Post-delete verification required."
"2026-06-05Tcurrent","local_generated_media","Related_Works\runs\cut_5x5\video\head_20260404_140443","537","613.693","directory opened; only _work frames_src png; no mp4/json/csv; no text reference to timestamp","unreferenced_intermediate_video_frames","delete","yes","Intermediate frame-only work dir. Final video evidence and summary live under Cycle-NCE/video, and this timestamp is not referenced.","Post-delete verification required."
"2026-06-05Tcurrent","local_generated_media","Related_Works\runs\cut_5x5\video\head_20260404_140525","895","1022.821","directory opened; only _work frames_src png; no mp4/json/csv; no text reference to timestamp","unreferenced_intermediate_video_frames","delete","yes","Intermediate frame-only work dir. Final video evidence and summary live under Cycle-NCE/video, and this timestamp is not referenced.","Post-delete verification required."
