scope,location,path_or_group,checked_at,count,size_mb,classification,cleanup_action,manual_evidence,note
local,G,G:/GitHub/Latent_Style,2026-06-05T06:35:00,37711,9813.856,remaining_weight_total,index_only,"post-cleanup extension scan for .pt/.ckpt/.pth/.safetensors","Total includes data latents, feature caches, eval/pretrained deps, fake eval sentinels, retained mainline checkpoints, and historical mixed areas."
local,G,latent-256,2026-06-05T06:35:00,10361,177.702,data_latents,keep,"top-level local extension grouping","Latent tensors are dataset artifacts, not cleanup targets."
local,G,clip-feats-vitb32,2026-06-05T06:35:00,10361,1303.526,feature_cache,keep,"top-level local extension grouping","CLIP feature cache for evaluation/data reuse."
local,G,eval_cache,2026-06-05T06:35:00,30,4383.348,eval_cache_and_pretrained_deps,keep,"top-level local extension grouping","Contains evaluation caches and model dependency files; not experiment checkpoints."
local,G,SchrodingerBridge/scale/datasets,2026-06-05T06:35:00,11349,2859.902,data_latents,keep,"local SchrodingerBridge subdirectory grouping","Dataset latent files under scale datasets; not cleanup targets."
local,G,SchrodingerBridge/datasets/horse2zebra,2026-06-05T06:35:00,2661,336.076,data_latents,keep,"local SchrodingerBridge subdirectory grouping","Dataset latent files; not cleanup targets."
local,G,SchrodingerBridge/exp/local_wsl_wikiart512_hist_b32_e8,2026-06-05T06:35:00,8,260.554,mainline_timing_anchor,keep,"manual directory audit and remaining-weight scan","Retained as WikiArt512 formal full-eval/timing anchor with epoch_0001..0008.pt."
local,G,SchrodingerBridge/exp/video/video_compare/vtest_240f_art_styles/_metric_cache/artfid/art_inception.pth,2026-06-05T06:35:00,1,102.936,metric_dependency,keep,"local SchrodingerBridge exp scan","ArtFID/Inception metric cache, not an experiment checkpoint."
local,G,Related_Works,2026-06-05T06:35:00,31,814.913,pretrained_deps_and_fake_eval_sentinels,keep,"manual Related_Works remaining-weight scan","Remaining files are VGG/Inception/LPIPS dependencies and tiny fake_eval_checkpoint sentinels."
local,G,Cycle-NCE,2026-06-05T06:35:00,3,1.054,historical_mixed_area,keep_pending_focused_pass,"top-level local extension grouping; manual_directory_audit marks Cycle-NCE as mixed","Not deleted because Cycle-NCE requires a separate focused pass before removing any residual weights."
local,G,seedream45_api,2026-06-05T06:35:00,1,0.001,fake_eval_sentinel,keep,"top-level local extension grouping","Tiny fake eval checkpoint sentinel, not space-significant."
local,G,inception-2015-12-05.pt,2026-06-05T06:35:00,1,91.179,metric_dependency,keep,"top-level local extension grouping","Inception dependency file."
remote,I,I:/Github/Latent_Style/SchrodingerBridge/exp,2026-06-05T06:34:00,101,5945.063,mainline_and_current_ablation_checkpoints,keep,"targeted remote remaining-weight scan","Distinct5 compact variants, AAAI2027 longer/path runs, S-add repro/exact runs, and related current checkpoints retained."
remote,I,I:/Github/Latent_Style/Related_Works/baseline_pipeline/results,2026-06-05T06:34:00,19,5242.074,authoritative_samam_step_checkpoints,keep,"targeted remote remaining-weight scan","Authoritative Distinct5 SaMAM step_checkpoints retained after duplicate/probe/corrupt segment checkpoints were deleted."
remote,I,I:/Github/Latent_Style/Related_Works/repos,2026-06-05T06:34:00,2,152.797,pretrained_deps,keep,"targeted remote remaining-weight scan","Remaining files are VGG dependency checkpoints for S2WAT/SaMAM."
remote,I,I:/Github/Latent_Style/SchrodingerBridge/S-add__K-1_C-0_W-20_Col-0,2026-06-05T06:34:00,8,345.642,legacy_mainline_gate,keep,"targeted remote remaining-weight scan","Retained as historical S-add gate with epoch_0001..0008.pt."
remote,I,I:/Github/Latent_Style/Cycle-NCE,2026-06-05T06:34:00,43,1097.427,historical_mixed_area,keep_pending_focused_pass,"targeted remote Cycle-NCE remaining-weight scan","Contains eval caches, VAE/CLIP/ArtFID/LPIPS dependencies, and historical distilled/epoch weights. Not safe to delete without a separate Cycle-NCE-focused pass."
remote,I,I:/Github/Latent_Style/SchrodingerBridge/orthogonal_phase_space_sweep_60,2026-06-05T06:18:00,0,0,cleaned_legacy_root_sweep,deleted_nonmainline_weights,"post-delete targeted remote verification","All 13 legacy epoch_0060.pt weights removed; manifests/configs/logs/src retained."
remote,I,I:/Github/Latent_Style/SchrodingerBridge/high_tension_phase_space_sweep,2026-06-05T06:18:00,0,0,cleaned_legacy_root_sweep,deleted_nonmainline_weights,"post-delete targeted remote verification","All 3 materialized legacy weights removed; manifests/configs/logs/src retained."
