case_id,src_style,tgt_style,best_overall,best_style_specificity,best_structure,best_artifact_control,confidence_1_to_5,LBM-Knee_e13_style_specificity,LBM-Knee_e13_structure_preservation,LBM-Knee_e13_artifact_control,LBM-Knee_e13_note,Seedream_repaired750_style_specificity,Seedream_repaired750_structure_preservation,Seedream_repaired750_artifact_control,Seedream_repaired750_note,DualPathFresh_e01_style_specificity,DualPathFresh_e01_structure_preservation,DualPathFresh_e01_artifact_control,DualPathFresh_e01_note
Impressionism__eugene-boudin_laundresses-on-the-banks-of-the-touques-9__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly degraded, heavy texture artifacts, poor style fidelity to Early Renaissance.",5,5,5,"Excellent preservation of structure, strong Early Renaissance style match, minimal artifacts.",3,4,3,"Moderate style transfer, good structure, some softness and minor artifacts."
Impressionism__claude-monet_palazzo-contarini-2__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly painterly and abstract; loses architectural detail and introduces heavy texture artifacts. Style is too impressionistic, not Early Renaissance.",5,5,5,"Excellent match to target style: clean lines, muted palette, balanced lighting, and preserved structure. Minimal artifacts. Best overall result.",3,4,3,Moderate style transfer with some softness and color bleeding. Structure mostly preserved but lacks crispness of target. Some minor smudging.
Impressionism__childe-hassam_september-moonrise__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very faint, washed-out style transfer; lacks Renaissance texture and color depth. Structure preserved but overly blurred. Heavy artifacts from poor style mapping.",5,5,5,"Excellent Early Renaissance style: warm earth tones, soft atmospheric perspective, painterly brushwork. Structure perfectly preserved with no artifacts. Best match to target reference.",3,4,3,"Moderate style transfer — some Renaissance-like haze and muted palette, but lacks richness and detail. Structure mostly intact. Minor smudging and uneven texture suggest partial artifacting."
Ukiyo_e__keisai-eisen_yabai-with-two-women-1840__to__Ukiyo_e,Ukiyo_e,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,3,"Very washed-out, lacks Ukiyo-e color and line quality; structure is preserved but style is weak.",5,5,5,"Excellent reproduction of Ukiyo-e aesthetics with strong color, clear lines, and perfect structural fidelity.",3,4,4,Better than LBM but still lacks the vibrancy and distinct line work of true Ukiyo-e style.
Minimalism__richard-tuttle_relative-to-our-society-1990__to__Early_Renaissance,Minimalism,Early_Renaissance,DualPathFresh_e01,Seedream_repaired750,DualPathFresh_e01,DualPathFresh_e01,4,2,4,3,Minimal style transfer; mostly preserves source with slight color shift. Structure intact but no Renaissance elements applied.,5,3,4,Strongest stylistic match to Early Renaissance via warm tones and texture overlay. Slight warping of object edges but no major artifacts.,4,5,5,"Excellent structure preservation with subtle stylistic enhancement (warm lighting, soft shadows). Clean output with no visible artifacts."
Rococo__dmitry-levitzky_portrait-of-maria-palovna-narychkina-1773__to__Early_Renaissance,Rococo,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,1,Severe overexposure and haze obscure facial features and clothing details; style transfer is weak and visually degraded.,5,5,5,"Excellent preservation of source structure with strong Early Renaissance stylistic rendering — soft chiaroscuro, warm palette, and painterly texture without artifacts.",3,4,2,Moderate style application with some smudging and loss of fine detail on face and collar; structure mostly intact but artifacts reduce fidelity.
Impressionism__claude-monet_rouen-cathedral-the-portal-at-midday__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Fails to apply minimalism; output is a washed-out, blurry version of source with no stylistic intent or clean structure.",5,5,5,Perfectly applies minimalism via flat color blocks and geometric simplification while preserving architectural structure cleanly with zero artifacts.,2,3,2,"Similar to C — lacks stylistic transformation, appears as a degraded, noisy blur with no clear structure or style application."
Ukiyo_e__utagawa-kuniyoshi_woman-seated-under-a-cherry-blossoms__to__Ukiyo_e,Ukiyo_e,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Poor Ukiyo-e style; lacks color and detail; structure partially preserved but blurry.,5,5,5,Excellent Ukiyo-e style; faithful structure; clean output with no artifacts.,3,4,3,Moderate Ukiyo-e style; structure mostly preserved; some color bleeding and minor artifacts.
Ukiyo_e__katsushika-hokusai_woman-looking-at-herself-in-a-mirror__to__Rococo,Ukiyo_e,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Faint Rococo-like color wash but lacks ornamental detail; structure is blurred and indistinct; heavy vignetting and noise artifacts degrade quality.,5,5,5,"Excellent Rococo styling with ornate borders, soft pastel tones, and elegant composition; source figure structure preserved accurately; no visible artifacts.",3,4,3,Moderate Rococo influence via muted palette and framing; structure is recognizable but slightly distorted; noticeable paper texture and edge artifacts reduce polish.
Rococo__thomas-gainsborough_robert-butcher-of-walthamstan__to__Early_Renaissance,Rococo,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very blurry and washed-out; lacks Renaissance texture and depth. Structure is preserved but heavily degraded by blur.,5,5,5,"Excellent match to Early Renaissance portraiture: rich chiaroscuro, detailed fabric folds, natural skin tones, and crisp oval framing. No visible artifacts.",3,4,3,Better than LBM but still hazy with soft edges and muted colors. Some structure preserved but lacks the crisp detail and atmospheric depth of true Renaissance style.
Impressionism__henri-matisse_brittany-also-known-as-boat-1896__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,3,"Overly blurred and washed-out; minimalism not clearly expressed, structure partially preserved but lacks clarity.",5,5,5,Strong geometric abstraction with clean lines and flat color blocks; excellent structure retention and no visible artifacts.,2,3,3,"Similar to LBM — hazy, low-contrast output; minimalism absent, structure faintly retained but indistinct."
Ukiyo_e__utagawa-kuniyoshi_high-noon-at-kasumigaseki__to__Early_Renaissance,Ukiyo_e,Early_Renaissance,DualPathFresh_e01,DualPathFresh_e01,DualPathFresh_e01,DualPathFresh_e01,5,3,4,3,Moderate Early Renaissance style adoption; structure mostly preserved but with slight color bleeding and soft edges.,4,3,4,Strong stylistic match to Early Renaissance; some structural distortion in figures and buildings; minimal artifacts.,5,5,5,Excellent fidelity to Early Renaissance style while preserving original composition and content; no visible artifacts.
Minimalism__alvaro-lapa_criminals-and-their-properties-1974__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly blurred and washed out; loses grid structure and minimalism intent. Heavy halo artifacts around edges.,5,5,5,"Clean, sharp reproduction of source structure with strong minimalist aesthetic. No visible artifacts or distortion.",3,4,3,Preserves structure well but style is muted and slightly faded. Minor softness reduces clarity compared to D.
Ukiyo_e__keisai-eisen_yabai-with-two-women-1840__to__Minimalism,Ukiyo_e,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,2,2,"Severely degraded; source content is almost entirely lost, replaced by abstract noise. Fails to preserve structure or apply style meaningfully.",5,5,5,"Excellent preservation of source composition and figures. Style is cleanly applied with minimal artifacts, achieving a strong minimalist aesthetic without distortion.",3,3,3,"Moderate success. Structure is somewhat preserved but blurred. Style application is inconsistent, with some areas retaining original colors while others are washed out."
Minimalism__pino-pinelli_pittura-r-1993__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,1,3,2,Minimal style transfer; appears nearly identical to source with slight color shift. No Rococo elements applied. Structure preserved but no stylistic integration.,5,5,5,"Excellent Rococo style transfer: ornate frame, pastel palette, and decorative motifs accurately reflect target style. Source content (red ovals) preserved in position and shape. Clean edges, no artifacts.",2,4,3,Slight color wash and blur applied; faint hint of Rococo framing but very weak. Structure mostly preserved but softened. Some smudging and loss of edge definition.
Impressionism__nikolay-bogdanov-belsky_connoisseurs-of-books-knowledge-is-power__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly washed out and hazy; minimalism not clearly expressed, structure blurred by excessive smoothing.",5,5,5,"Clean geometric shapes, flat colors, and simplified forms align well with minimalism; source structure preserved without artifacts.",3,3,3,Some stylization present but inconsistent; structure partially preserved with noticeable blur and color bleeding artifacts.
