case_id,src_style,tgt_style,best_overall,best_style_specificity,best_structure,best_artifact_control,confidence_1_to_5,LBM-Knee_e13_style_specificity,LBM-Knee_e13_structure_preservation,LBM-Knee_e13_artifact_control,LBM-Knee_e13_note,Seedream_repaired750_style_specificity,Seedream_repaired750_structure_preservation,Seedream_repaired750_artifact_control,Seedream_repaired750_note,QEdgePattn_e01_style_specificity,QEdgePattn_e01_structure_preservation,QEdgePattn_e01_artifact_control,QEdgePattn_e01_note
Impressionism__eugene-boudin_laundresses-on-the-banks-of-the-touques-9__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Overly faded and washed-out; loses figure detail and stylistic coherence with Early Renaissance.,5,5,5,Excellent preservation of composition and figures; strong stylistic alignment with Early Renaissance palette and texture.,3,4,3,Better than LBM but still exhibits edge artifacts and slight over-sharpening; moderate style transfer fidelity.
Impressionism__claude-monet_palazzo-contarini-2__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Faint, washed-out style with poor color fidelity to Early Renaissance; structure is somewhat preserved but lacks definition; noticeable artifacts and low contrast.",5,5,5,"Excellent match to Early Renaissance aesthetic — warm tones, architectural clarity, and refined brushwork; structure is sharply preserved; minimal artifacts.",3,4,3,Moderate style transfer with some Renaissance-like warmth; structure is well-preserved but edges appear slightly blurred; minor artifacts in water reflections.
Impressionism__childe-hassam_september-moonrise__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Heavy texture and noise obscure structure; style is vague and not clearly Early Renaissance.,5,5,5,"Excellent preservation of source structure with clean, coherent Early Renaissance aesthetic; minimal artifacts.",3,3,3,Moderate style transfer with visible edge artifacts; structure is partially preserved but lacks refinement.
Ukiyo_e__keisai-eisen_yabai-with-two-women-1840__to__Ukiyo_e,Ukiyo_e,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,3,"Very washed-out, low contrast; style is vague and lacks Ukiyo-e character. Structure is preserved but details are blurred.",5,5,5,Excellent reproduction of the Ukiyo-e aesthetic with strong color and line quality. Structure is perfectly maintained with no visible artifacts.,3,4,4,"Better than LBM but still lacks the vibrancy and distinct line work of the target. Structure is good, but the style feels slightly generic."
Minimalism__richard-tuttle_relative-to-our-society-1990__to__Early_Renaissance,Minimalism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,QEdgePattn_e01,QEdgePattn_e01,4,2,4,3,Minimal style transfer; mostly preserves source with slight color shift. Structure intact but no Renaissance elements applied.,5,3,3,Strong Early Renaissance texture and warm tone applied to background and object surfaces. Some structural distortion in lamp shape and shadowing.,3,5,5,Excellent structure and artifact control. Subtle warm tone and slight texture suggest Renaissance influence but lacks strong stylistic markers.
Rococo__dmitry-levitzky_portrait-of-maria-palovna-narychkina-1773__to__Early_Renaissance,Rococo,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very low style specificity; image is overly blurred and washed out, losing texture and color depth. Structure is preserved but degraded by haze. Heavy artifacts from over-smoothing.",5,5,5,"Excellent Early Renaissance style transfer: warm chiaroscuro, soft glazing, and period-appropriate palette. Structure perfectly preserved. No visible artifacts.",3,4,3,"Moderate style capture with some Renaissance tonal qualities, but lacks richness. Structure mostly intact. Mild blurring and edge halos introduce minor artifacts."
Impressionism__claude-monet_rouen-cathedral-the-portal-at-midday__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Fails to apply minimalism; output is a washed-out, blurry version of source with no stylistic intent.",5,5,5,Perfectly applies minimalism via flat color blocks and geometric simplification while preserving architectural structure cleanly.,2,3,2,"Similar to LBM; lacks stylistic transformation, appears as a degraded, low-contrast copy of source with artifacts."
Ukiyo_e__utagawa-kuniyoshi_woman-seated-under-a-cherry-blossoms__to__Ukiyo_e,Ukiyo_e,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Poor style transfer; lacks Ukiyo-e characteristics. Structure is partially preserved but distorted. Heavy artifacts and color bleeding present.,5,5,5,"Excellent Ukiyo-e style match with proper brushwork, color palette, and composition. Structure is well-preserved. Minimal to no artifacts.",3,4,3,Moderate style transfer; some Ukiyo-e elements visible but inconsistent. Structure is mostly preserved. Minor artifacts in texture and edges.
Ukiyo_e__katsushika-hokusai_woman-looking-at-herself-in-a-mirror__to__Rococo,Ukiyo_e,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very weak Rococo style; heavy vignetting and blur obscure content. Structure is partially preserved but degraded by artifacts.,5,5,5,"Excellent Rococo aesthetic with ornate framing, soft colors, and elegant composition. Source structure (figure pose, mirror, box) is well preserved. Minimal artifacts.",2,3,2,Similar to LBM-Knee_e13 — faint Rococo hints but dominated by heavy vignetting and low contrast. Structure is recognizable but obscured by processing artifacts.
Rococo__thomas-gainsborough_robert-butcher-of-walthamstan__to__Early_Renaissance,Rococo,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very blurry and washed out; fails to capture Early Renaissance texture or color depth. Structure is preserved but degraded by heavy blur.,5,5,5,"Excellent transfer of Early Renaissance portraiture style — rich colors, soft chiaroscuro, and period-appropriate clothing textures. Structure is perfectly preserved with no artifacts.",3,4,3,"Moderate style transfer with some Renaissance-like tones, but lacks depth and detail. Slight smudging around edges; structure mostly intact but less refined than Seedream."
Impressionism__henri-matisse_brittany-also-known-as-boat-1896__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,4,Very low style specificity; output is a washed-out blur with no clear minimalism or source structure. High artifact control (no sharp artifacts) but at cost of content loss.,5,5,5,"Excellent minimalism via geometric abstraction and flat color blocks. Source structure (boat, water, buildings) clearly preserved. No visible artifacts.",2,3,4,"Similar to LBM — overly blurred, lacks minimalism, source structure barely discernible. Clean rendering but fails stylistic and structural goals."
Ukiyo_e__utagawa-kuniyoshi_high-noon-at-kasumigaseki__to__Early_Renaissance,Ukiyo_e,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,3,4,3,Moderate Early Renaissance feel with soft coloring but lacks architectural detail fidelity; some smudging and color bleeding near edges.,5,5,5,"Excellent match to Early Renaissance style — muted tones, aged texture, and compositional harmony preserved; minimal artifacts, clean edges.",4,4,4,Good stylistic emulation with slight over-sharpening in sky and building outlines; minor haloing around figures but overall coherent.
Minimalism__alvaro-lapa_criminals-and-their-properties-1974__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Fails to capture minimalism; introduces heavy blur and texture artifacts. Structure is partially preserved but obscured by noise.,5,5,5,Perfectly captures minimalism with clean lines and flat color blocks. Structure is sharply preserved. No visible artifacts.,3,4,3,Moderately captures minimalism but retains too much texture/detail from source. Structure is well-preserved. Minor artifacts in shading.
Ukiyo_e__keisai-eisen_yabai-with-two-women-1840__to__Minimalism,Ukiyo_e,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Fails to apply minimalism; output is a washed-out, blurry version of the source with no stylistic reduction or simplification.",5,5,5,"Perfectly applies minimalism by reducing the image to bold, flat color blocks and clean outlines, preserving the original composition and figures without artifacts.",2,3,2,"Similar to LBM, this output is a degraded, low-contrast version of the source that fails to impose the target minimalism style."
Minimalism__pino-pinelli_pittura-r-1993__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Minimal Rococo influence; mostly preserves source structure with slight color shift and vignette. Lacks ornamental detail.,5,5,5,"Excellent Rococo framing with intricate scrollwork and pastel tones. Source content (red ovals) preserved clearly within stylized border. Clean edges, no artifacts.",3,4,4,"Subtle Rococo hints via soft vignette and warm tone, but lacks ornamental structure. Content well-preserved; minor edge softening."
Impressionism__nikolay-bogdanov-belsky_connoisseurs-of-books-knowledge-is-power__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed out; minimalism not clearly expressed, structure partially preserved but details lost.",5,5,5,"Clean geometric shapes, strong minimal aesthetic, excellent structure retention, no visible artifacts.",3,4,3,Some edge definition retained but overly hazy; minimalism implied but not strongly executed; mild artifacts.
Early_Renaissance__domenico-ghirlandaio_st-jerome__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very faded, low contrast; style is barely perceptible and structure is washed out with significant artifacts.",5,5,5,Excellent transfer of Early Renaissance fresco style with strong structural integrity and minimal artifacts.,3,4,3,Moderate style transfer with good structure but noticeable blurring and some loss of detail compared to Seedream.
Early_Renaissance__andrea-mantegna_maria-with-the-sleeping-child-1455__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly blurred and washed out; lacks Impressionist brushwork and color vibrancy. Structure is preserved but visually degraded.,5,5,5,"Excellent Impressionist rendering with visible brushstrokes, rich color palette, and faithful preservation of original composition and details. Minimal artifacts.",3,4,3,Moderate Impressionist style applied; some softness and loss of fine detail. Structure mostly preserved but with slight smudging and reduced contrast.
Rococo__louise-elisabeth-vigee-le-brun_the-bather-1792__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Fails to capture minimalism; appears as a blurred, low-contrast wash with no clear stylistic intent.",5,5,5,Perfectly captures minimalism with bold flat colors and clean geometry while preserving the source pose and composition.,2,3,2,"Similar to LBM, this output is indistinct and lacks the defining characteristics of the target style."
Impressionism__alfred-sisley_riverbank-at-veneux-1881__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Weak Renaissance style; overly smooth and painterly with loss of texture and edge definition.,5,5,5,Excellent Early Renaissance style transfer with preserved structure and minimal artifacts.,3,4,3,Moderate style fidelity with some texture loss and minor edge artifacts.
Minimalism__mira-schendel_untitled-1984__to__Early_Renaissance,Minimalism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,1,2,Completely fails to preserve structure; output is a blurred orange blob with no discernible content. Style transfer is absent.,5,5,5,Perfectly preserves the source structure and applies the Early Renaissance portrait style flawlessly. No artifacts are present.,2,1,2,"Fails to preserve structure, resulting in a blurred orange patch. The style is not effectively transferred."
Ukiyo_e__utagawa-kuniyoshi_tsuchigumo__to__Rococo,Ukiyo_e,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Weak Rococo style transfer; heavy noise and distortion obscure content. Structure partially preserved but degraded by artifacts.,5,5,5,"Excellent Rococo style integration with soft pastels, ornate framing, and decorative motifs. Source structure fully preserved with minimal artifacts.",3,4,3,Moderate Rococo influence with some color and texture shifts. Structure well preserved but suffers from edge artifacts and uneven blending.
Ukiyo_e__utagawa-kuniyoshi_high-noon-at-kasumigaseki__to__Minimalism,Ukiyo_e,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed out; minimalism not clearly expressed, structure partially preserved but details lost.",5,5,5,"Excellent minimalism with clean lines, preserved structure, and no visible artifacts.",3,3,3,Moderate minimalism; some structure retained but with noticeable blurring and softness.
Early_Renaissance__fra-angelico_bosco-ai-frati-altarpiece__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Weak Rococo styling; overly desaturated and flat. Structure preserved but lacks ornamental detail. Some smudging artifacts.,5,5,5,"Excellent Rococo emulation: soft pastels, gilded arches, delicate shading. Faithful to source composition with no visible artifacts.",3,4,4,Moderate Rococo influence via color palette and framing. Structure well preserved. Minor edge halos and slight blurring.
Minimalism__richard-tuttle_relative-to-our-society-1990__to__Impressionism,Minimalism,Impressionism,Seedream_repaired750,Seedream_repaired750,QEdgePattn_e01,QEdgePattn_e01,4,2,4,4,"Minimal style transfer; nearly identical to source. Structure well preserved, no artifacts.",5,3,3,"Strong Impressionist brushwork and color palette applied. Some softening of edges and minor structural blur, but stylistically compelling.",3,5,5,Very clean output with sharp structure and no visible artifacts. Style is subtly suggested via texture but lacks strong Impressionist character.
Minimalism__robert-ryman_conversion-2003__to__Impressionism,Minimalism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,1,5,5,Completely failed to apply style; output is blank white with source dots preserved. No impressionistic texture or color.,3,5,4,"Preserves source structure perfectly. Applies a subtle, warm, textured overlay that hints at Impressionism (color palette, slight grain) without overwhelming the content. Best balance of all criteria.",1,5,5,"Similar to LBM, fails to apply any discernible style. Output is nearly blank white with source dots. No impressionistic characteristics."
Ukiyo_e__ogata-gekko_print-from-series-women-s-customs-and-manners-1895-1__to__Impressionism,Ukiyo_e,Impressionism,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,LBM-Knee_e13,4,2,5,5,Preserves source structure perfectly but fails to apply Impressionist style; output is nearly identical to source.,5,3,3,"Strongly applies Impressionist brushwork and color; structure is recognizable but distorted, with some artifacts in sky/water.",3,4,4,Moderate style transfer with visible brushstroke texture; structure mostly preserved but slightly softened; minor artifacts in background.
Rococo__antoine-watteau_the-delicate-musician__to__Rococo,Rococo,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very low Rococo specificity; structure is preserved but overly blurred and lacks detail; heavy vignetting and smudging artifacts degrade quality.,5,5,5,"Excellent Rococo style transfer with ornate frame, pastel palette, and period-appropriate composition; source structure perfectly preserved; no visible artifacts.",2,3,2,Minimal style transfer; resembles LBM output with similar blurring and vignetting; structure preserved but lacks Rococo characteristics; artifacts present.
Early_Renaissance__fra-angelico_coronation-of-the-virgin-detail-1435-1__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,4,2,4,5,Minimal style transfer; retains source structure well with no artifacts but lacks Rococo characteristics.,5,5,4,Strong Rococo style integration with ornate frame and soft color palette; preserves structure and has minimal artifacts.,3,3,3,Moderate style transfer with some Rococo elements; structure is somewhat preserved but with noticeable artifacts.
Rococo__thomas-gainsborough_a-peasant-girl-with-dog-and-jug-1785__to__Impressionism,Rococo,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Faint, washed-out output with minimal impressionistic texture; structure is preserved but overly blurred and lacks color vibrancy or brushwork.",5,5,5,"Excellent impressionistic style transfer with visible brushstroke-like textures, rich color palette matching the target, and full preservation of subject and composition without artifacts.",2,3,2,"Similar to LBM — very faint, low-contrast output with negligible style application; structure is intact but visually underwhelming and lacks stylistic fidelity."
Minimalism__bruce-nauman_la-brea-art-tips-rat-spit-tar-pits-1972__to__Minimalism,Minimalism,Minimalism,QEdgePattn_e01,QEdgePattn_e01,Seedream_repaired750,QEdgePattn_e01,4,2,3,2,Heavy blur and halo artifacts degrade both style and structure; minimalism not well captured.,3,5,3,Excellent structure preservation and clean edges; moderate style transfer with slight color shift but no major artifacts.,5,4,5,"Cleanest output: strong minimalism via soft background and muted tones, well-preserved structure, no visible artifacts."
Minimalism__yves-klein_untitled-yellow-monochrome-1956__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Fails to apply Rococo style; appears as a faded, blurry yellow rectangle with no ornamental detail or structural fidelity to the source.",5,5,5,"Perfectly applies Rococo ornate border and gilded frame while preserving the original yellow rectangle’s shape and position. Clean, artifact-free output.",2,3,2,"Similar to LBM — lacks Rococo styling, shows heavy blur and vignetting, minimal structural retention beyond basic color."
Ukiyo_e__katsushika-hokusai_fishing-in-the-river-kinu__to__Early_Renaissance,Ukiyo_e,Early_Renaissance,QEdgePattn_e01,QEdgePattn_e01,QEdgePattn_e01,QEdgePattn_e01,4,3,4,3,Moderate Early Renaissance style adoption; structure mostly preserved but with slight color bleeding and soft edges; some artifacts in water and sky regions.,2,3,2,Weak style transfer — retains too much of source’s flat aesthetic; structure distorted in figures and terrain; noticeable artifacts and unnatural shading.,5,5,5,"Strong Early Renaissance style integration with accurate tonal gradients, chiaroscuro hints, and compositional fidelity; minimal artifacts; excellent preservation of source geometry and detail."
Impressionism__william-merritt-chase_at-the-boat-landing__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,QEdgePattn_e01,4,2,3,3,"Overly washed out; minimalism not clearly expressed, structure blurred but intact.",5,5,4,Strong minimalism with clean geometry and clear structure; slight blockiness in grass.,3,4,5,Cleanest output with minimal artifacts; style is faint but structure is well preserved.
Early_Renaissance__andrea-mantegna_scenes-from-the-life-of-st-james-1448-2__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,Seedream_repaired750,4,2,5,4,Preserves structure well but lacks Ukiyo-e color and texture; appears washed out and sketchy.,5,4,5,Strong Ukiyo-e aesthetic with appropriate colors and brushwork; minor structural softening but no artifacts.,2,4,3,Retains structure but fails to apply style; overly gray and lacks Ukiyo-e characteristics; slight noise in background.
Early_Renaissance__benozzo-gozzoli_the-school-of-tagaste-1465-1__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,"Faint, washed-out impressionistic washes; structure mostly preserved but lacks color/brushwork fidelity to target style.",5,5,5,Strong impressionist palette and brushstroke texture; architecture and figures well-preserved; minimal artifacts.,3,4,4,Moderate impressionist tinting; structure intact but overly uniform smoothing; slight edge haloing near figures.
Minimalism__robert-ryman_surface-veil-1970__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,4,Fails to apply minimalism; output is nearly identical to source with no stylistic transformation.,5,5,5,Perfectly captures minimalism through clean lines and geometric framing while preserving the source's core structure without artifacts.,1,2,3,"Completely loses the source content, resulting in a blank white image with no recognizable structure or style."
Rococo__thomas-gainsborough_robert-butcher-of-walthamstan__to__Ukiyo_e,Rococo,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very blurry and washed out; minimal Ukiyo-e stylistic features; structure is preserved but heavily degraded by blur.,5,5,5,"Excellent Ukiyo-e style transfer with clear line work, appropriate color palette, and strong structural fidelity. Minimal artifacts.",3,4,3,"Moderate Ukiyo-e influence with some line definition, but overall hazy and low contrast. Structure is reasonably preserved but lacks crispness."
Rococo__pietro-longhi_the-tooth-extractor__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed out; minimalism not clearly expressed, structure is preserved but lacks clarity.",5,5,5,"Excellent minimalism with clean geometry, strong structure retention, and no visible artifacts.",2,3,2,"Similar to LBM, suffers from blurriness and lack of stylistic definition; structure is somewhat preserved."
Rococo__thomas-gainsborough_john-plampin__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed out; minimalism not clearly expressed, structure partially preserved but lacks clarity.",5,5,5,"Excellent minimalism with clean geometry, strong structure retention, and no visible artifacts.",2,3,2,"Similar to LBM — too soft and indistinct; minimalism not well captured, structure and artifacts comparable to LBM."
Early_Renaissance__benozzo-gozzoli_procession-of-the-magus-caspar-detail-1461-4__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very blurry and washed out; loses facial detail and Rococo elegance. Structure is partially preserved but heavily degraded by noise and smearing.,5,5,5,"Excellent Rococo styling with ornate frame, soft lighting, and painterly texture. Source structure (face, crown, beard) is perfectly preserved with no visible artifacts.",3,4,3,"Moderate Rococo feel with vignette and soft edges, but lacks ornamental detail. Structure is mostly intact but suffers from slight blurring and color bleeding around the crown."
Rococo__joseph-wright_mr-and-mrs-thomas-coltman__to__Ukiyo_e,Rococo,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very washed-out, low contrast; style is vague and lacks Ukiyo-e characteristics. Structure is preserved but overly blurred. Significant artifacts from over-smoothing.",5,5,5,Excellent Ukiyo-e style transfer with clear line work and color blocking. Structure is perfectly preserved. No visible artifacts.,3,4,3,"Moderate style transfer, somewhat faded. Structure is well-preserved. Some minor artifacts and loss of detail in textures."
Minimalism__alvaro-lapa_criminals-and-their-properties-1974__to__Impressionism,Minimalism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,4,3,Minimal style transfer; mostly preserves source structure with faint texture. Lacks impressionistic brushwork or color variation.,5,5,5,"Strong impressionistic rendering with visible brushstrokes, color blending, and textured background while perfectly preserving the window structure and composition.",3,4,4,"Moderate style application with some texture and color shift, but less cohesive than Seedream. Structure is well preserved with minor edge softening."
Early_Renaissance__benozzo-gozzoli_procession-of-the-magus-caspar-detail-1461-4__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very blurry and washed-out; minimal Ukiyo-e texture or line work; structure is preserved but heavily degraded by haze.,5,5,5,"Excellent Ukiyo-e style transfer with clear ink lines, flat color regions, and stylized shading; structure perfectly preserved; no visible artifacts.",2,3,2,Similar to LBM — overly soft and hazy; lacks defined Ukiyo-e linework or pattern; structure is somewhat retained but obscured by blur.
Ukiyo_e__utagawa-kuniyoshi_a-man-confronted-with-an-apparition-of-the-fox-goddess__to__Minimalism,Ukiyo_e,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed-out; minimalism not achieved, structure partially preserved but details lost.",5,5,5,"Excellent minimalism: clean lines, reduced color palette, strong structural fidelity, no artifacts.",3,4,3,Moderate minimalism with some edge artifacts; structure mostly preserved but style less refined than D.
Early_Renaissance__pietro-perugino_giovanni-colombini__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Weak Renaissance style; heavy blurring and smearing distort structure; artifacts from over-smoothing.,5,5,5,Excellent Early Renaissance style fidelity; perfect structural alignment; clean output with no visible artifacts.,3,4,3,Moderate style transfer; good structure but slight color bleeding and edge halos; minor artifacts near borders.
Minimalism__robert-morris_box-with-the-sound-of-its-own-making-1961__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Minimal Rococo influence; structure preserved but overly blurred and lacks ornamental detail.,5,5,5,Excellent Rococo styling with ornate frame and gilded details; structure perfectly preserved; no visible artifacts.,2,3,2,"Similar to LBM-Knee_e13; weak style transfer, mild blurring, and no meaningful Rococo elements."
Rococo__carl-ludwig-johann-christineck_nikolai-mordvinov-1771__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very blurry and washed out; minimalism not clearly expressed, structure partially preserved but heavily degraded by artifacts.",5,5,5,Excellent minimalism with clean geometric shapes and flat colors; structure fully preserved; no visible artifacts.,2,3,2,"Similar to LBM-Knee_e13 — overly blurred, lacks clear minimalist styling, structure faintly visible but obscured by haze/artifacts."
Ukiyo_e__katsushika-hokusai_fishing-in-the-river-kinu__to__Rococo,Ukiyo_e,Rococo,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,LBM-Knee_e13,4,2,5,5,Preserves source structure perfectly but applies almost no Rococo style; appears nearly identical to source.,5,3,3,Strong Rococo aesthetic with ornate borders and soft pastel tones; some structural distortion and minor artifacts at edges.,3,4,4,Moderate Rococo influence with decorative framing; better structure than Seedream but less stylistic fidelity; minor edge artifacts.
Early_Renaissance__leonardo-da-vinci_study-of-the-effect-of-light-on-a-profile-head-facsimile__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Preserves source structure well but fails to apply Renaissance style; output remains largely unstyled sketch with aged paper texture.,5,5,5,"Excellent fusion: retains source geometry while applying Early Renaissance portraiture style (realistic face, period attire, chiaroscuro). Clean output with no visible artifacts.",3,4,4,"Moderate style transfer — adds some Renaissance-like shading and color to the face, but structure is slightly distorted and edges show minor blending artifacts."
Minimalism__pino-pinelli_pittura-r-1993__to__Early_Renaissance,Minimalism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,4,3,Minimal style transfer; background remains flat and modern. Structure preserved well but lacks Renaissance architectural context.,5,5,5,"Excellent integration of Early Renaissance architecture (columns, arches, figures) into the scene. Clean edges, no artifacts, strong stylistic fidelity.",3,4,4,"Some stylistic elements added (stone texture, subtle lighting), but less coherent than Seedream. Minor artifacts in shadow transitions."
